"captured_at","tier","entity","market_display","market_low","market_high","poll_display","poll_low","poll_high","hope_story","material_specificity","authentic_longform","problem_clarity","fight_selection","confidence","evidence_notes","liability_notes","vibes_rationale","catalyst_note","note","mention_good","mention_bad","mention_neutral","mention_unclear","mention_previous_good","mention_previous_bad","mention_previous_neutral","mention_previous_unclear","mention_sources","mention_examples","mention_confidence","mention_note"
"2026-05-13T07:27:00-05:00","Tier 1: Frontrunners","Newsom","24-34%","24","34","21%","21","21","2","3","1","2","2","high","California governing record; extensive national media exposure; shadow-campaign signals.","CA machine-polish; coastal-progressive brand risk; scripted affect under sustained exposure.","Technically skilled, but the polish cracks under sustained exposure and the positive story reads PR-shaped.","National Dem elite signals, California succession politics, the 2026 California governor result, and any post-governor launch after January 2027.","CA gov, shadow campaign, has network and timing; coastal-progressive brand risk.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 1: Frontrunners","Harris","5-7%","5","7","39%","39","39","1","2","1","2","2","high","2020 and 2024 national campaign record; VP record; high name ID polling.","2024 loss; donor skepticism; scripted institutional style; backward-looking brand.","High name ID, but the public style still reads scripted, institutional, and backward-linked to 2024.","Explicit run/pass signal, donor re-entry, and signs that party elites are willing to relitigate 2024 instead of moving on.","Leads polling on name ID; markets discount donor comeback risk less than operatives do.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 1: Frontrunners","AOC","8-9%","8","9","10%","10","10","3","4","4","4","4","high","Long-form interviews; grassroots fundraising; clear issue advocacy and hostile-media reps.","General-election ceiling concern; positive national unity story less proven than combat/story specificity.","Authentic, materially specific, and strong at fight-picking; the positive national vision is the weaker leg.","Progressive primary wins in 2026, grassroots fundraising shocks, and whether electability panic fades after midterm lessons settle.","Obama-tier grassroots energy; general-election ceiling is the priced risk.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 2: Serious Contenders","Shapiro","4-7%","4","7","7%","7","7","3","3","2","3","3","medium","Pennsylvania executive record; disciplined Rust Belt messaging; crisis response profile.","2026 reelection gate; national long-form warmth less proven; Gaza/education fights may complicate primary.","Competent patriotic-repair lane with Rust Belt discipline; warmth and long-form ease are less proven nationally.","Pennsylvania reelection margin on Nov 3, 2026; a strong swing-state overperformance is the cleanest repricing event.","PA gov, disciplined Rust Belt messenger; 2026 reelection comes first.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 2: Serious Contenders","Buttigieg","3-5%","3","5","7% (+75 NH)","7","7","4","3","4","4","4","high","Long-form interviews; Fox/news hits; high measured favorability where tested.","No governor track record; weak structural base; 2020 coalition ceiling still a question.","Probably the cleanest communicator for optimistic repair and long-form normie persuasion.","DNC early-state calendar, New Hampshire-style favorability tests, early-state polling, and whether he finds an office-holder story.","High measured favorability and communication skill; no governor track record or structural base.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 2: Serious Contenders","Pritzker","3-6%","3","6","3%","3","3","3","4","3","3","4","medium","Illinois governing record; economic-populist messaging; anti-Trump fight posture.","Billionaire frame; can read over-managed; national voter familiarity limited.","Has fight-picking and material Illinois delivery; authenticity has improved, though the billionaire frame still drags.","Illinois reelection margin, anti-Trump donor spending, and whether money plus combat becomes the party lane after 2026.","IL gov, deep pockets, anti-Trump fighter posture; could buy into top tier on populist economics.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 2: Serious Contenders","Ossoff","5-7%","5","7","1%","1","1","2","2","2","3","2","medium","Georgia Senate record; calm media presence; incumbent swing-state story.","Must win reelection; national story thin; limited unscripted emotional texture.","Calm and polished, but the national story and unscripted emotional texture are still thin.","Georgia Senate path: May 19, 2026 primary, Nov 3, 2026 general. Win keeps him live; loss probably ends the 2028 case.","Georgia-incumbent story depends on Senate reelection first.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 3: Underpriced, Right Profile","Moore","4%","4","4","unknown",,,"4","3","3","3","3","low","Maryland executive record; service biography; memoir/public speaking profile.","Limited national testing; long-form proof thinner than the biography; early hype risk.","Service biography, tone, and material story fit the thesis; long-form proof is thinner, but the signals are strong.","National rollout, early-state visits, service/reform speeches, and insider signs that the biography is being treated as presidential rather than just impressive.","MD gov, Rhodes scholar, combat vet; likely underpriced if markets omit him.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 3: Underpriced, Right Profile","Beshear","2.5-5%","2.5","5","1%","1","1","4","4","3","4","3","medium","Two-term Kentucky governing record; disaster response; red-state reelection proof.","Low national exposure; moderate lane may blur in a primary; national fight selection untested.","Red-state crisis governing gives him competence, decency, specificity, and low-key authentic hope.","Post-midterm lesson-taking around red-state Democratic overperformance, plus early-state travel or donor signals that his moderation has a lane.","Two-term KY gov, southern, religious, moderate; fits the post-2024 candidate-shape argument.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 3: Underpriced, Right Profile","Gallego","<1%","0","1","unknown",,,"4","3","3","3","4","low","Arizona Senate win; Marine biography; ticket-split overperformance.","Limited national testing; Senate record still new; inferred more from profile than campaign exposure.","Marine vet origin story, swing-state proof, and fight-without-ideology coding make the profile unusually complete.","Sun Belt and ticket-split lessons after 2026, veteran/Latino swing-state messaging, and any donor or early-state interest treating him as real.","AZ senator, Marine combat vet, Latino, strong 2024 ticket-split overperformance.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 3: Underpriced, Right Profile","Stein","<1%","0","1","unknown",,,"3","3","2","3","3","low","North Carolina win; attorney-general record; technocratic executive profile.","Low national profile; positive vision and long-form persona mostly untested.","Competence-and-AG-fight profile fits, but long-form national self and positive vision are still untested.","North Carolina performance as a party lesson, technocratic competence becoming fashionable, and early-state visits that raise his national profile.","NC gov, won big while Harris lost the state; serious technocrat profile.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 3: Underpriced, Right Profile","Kelly","<1%","0","1","6%","6","6","3","3","2","3","2","medium","Arizona Senate record; Navy/astronaut biography; broad competence brand.","Low ambition signal; narrative politics not a strength; restrained affect may not travel.","Competent patriotic adult template with broad appeal, but he has not shown much appetite for narrative politics.","Any ambition signal, VP/speculation cycle, Sun Belt security-and-competence lane, or early-state polling that rewards the competent-adult profile.","AZ senator, ex-astronaut, ex-Navy, Giffords; clean competent-adult template, low ambition signal.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 3: Underpriced, Right Profile","Warnock","<1%","0","1","unknown",,,"4","3","4","4","3","medium","Georgia statewide wins; pastoral speaking style; moral-patriotic campaign message.","National-primary appetite unknown; Senate lane may not translate; market omission risk.","Natural moral-patriotic storyteller who can name pain without sounding small or synthetic.","Southern-state and Georgia lessons after 2026, moral-patriotic speeches, donor interest, and any early-state rollout showing he wants the lane.","GA senator, Black pastor, won Georgia three times in four years.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 4: Dark Horses & Wild Cards","Whitmer","1.5-4%","1.5","4","4%","4","4","3","3","3","4","4","high","Michigan executive record; post-kidnapping threat history; national surrogate role.","Stock has slipped; gender handwringing; story not fully translated beyond Michigan.","Lived threat, executive record, and fight-picking are real; the story has not fully translated beyond Michigan.","Michigan 2026 results, whether Michigan keeps early-calendar leverage, and whether she turns post-governor status into a future-party tour.","MI gov, strong Electoral College math; stock has slipped and gender handwringing weighs on the read.",,,,,,,,,,,,
"2026-05-13T07:27:00-05:00","Tier 4: Dark Horses & Wild Cards","Slotkin","<1%","0","1","unknown",,,"3","3","3","3","3","low","Michigan Senate win; national-security biography; moderate pragmatist brand.","Pure dark horse; positive vision unfinished; limited national charisma testing.","CIA-pragmatist-moderate profile is authentic and materially specific, but the positive vision is still unfinished.","Michigan calendar leverage, national-security moderate demand, and any 2027 rollout that turns her from profile-fit dark horse into actual contender.","MI senator, ex-CIA, security-credentialed moderate; pure dark horse.",,,,,,,,,,,,
